year,Number of Schools,Elementary Students,Elementary Students(thousands),Schools per Students
1948,25237,10774652,10774.652,426.938701113445
1949,25638,10991927,10991.927,428.73574381777
1950,25878,11191401,11191.401,432.467771852539
1951,26056,11422992,11422.992,438.401596561253
1952,26377,11148325,11148.325,422.653258520681
1953,26555,11225469,11225.469,422.725249482207
1954,26804,11750925,11750.925,438.401917624235
1955,26880,12266952,12266.952,456.359821428571
1956,26957,12616311,12616.311,468.016136810476
1957,26988,12956285,12956.285,480.07577441826
1958,26964,13492087,13492.087,500.374091381101
1959,26916,13374700,13374.7,496.905186506167
1960,26858,12590680,12590.68,468.786953607864
1961,26741,11810874,11810.874,441.676601473393
1962,26615,11056915,11056.915,415.439226000376
1963,26423,10471383,10471.383,396.298035802142
1964,26210,10030990,10030.99,382.716138878291
1965,25977,9775532,9775.532,376.314893944643
1966,25687,9584061,9584.061,373.109393856815
1967,25487,9452071,9452.071,370.85851610625
1968,25262,9383182,9383.182,371.434644921226
1969,25013,9403193,9403.193,375.932235237676
1970,24790,9493485,9493.485,382.956232351755
1971,24540,9595021,9595.021,390.995150774246
1972,24325,9696133,9696.133,398.607728674203
1973,24592,9816536,9816.536,399.175992192583
1974,24606,10088776,10088.776,410.012842396164
1975,24650,10364846,10364.846,420.480567951318
1976,24717,10609985,10609.985,429.258607436178
1977,24777,10819651,10819.651,436.681236630746
1978,24828,11146874,11146.874,448.96383115837
1979,24899,11629110,11629.11,467.051287200289
1980,24945,11826573,11826.573,474.105953096813
1981,25005,11924653,11924.653,476.89074185163
1982,25043,11901520,11901.52,475.243381384019
1983,25045,11739452,11739.452,468.73435815532
1984,25064,11464221,11464.221,457.397901372486
1985,25040,11095372,11095.372,443.105910543131
1986,24982,10665404,10665.404,426.923544952366
1987,24933,10226323,10226.323,410.152127702242
1988,24901,9872520,9872.52,396.470824464881
1989,24851,9606627,9606.627,386.569031427307
1990,24827,9373295,9373.295,377.544407298506
1991,24798,9157429,9157.429,369.280950076619
1992,24730,8947226,8947.226,361.796441568945
1993,24676,8768881,8768.881,355.360714864646
1994,24635,8582871,8582.871,348.401501928151
1995,24548,8370246,8370.246,340.974661886915
1996,24482,8105629,8105.629,331.085246303407
1997,24376,7855387,7855.387,322.259066294716
1998,24295,7663533,7663.533,315.436633052068
1999,24188,7500317,7500.317,310.084215313379
2000,24106,7366079,7366.079,305.570355927985
2001,23964,7296920,7296.92,304.495075947254
2002,23808,7239327,7239.327,304.071194556452
2003,23633,7226910,7226.91,305.797401937968
2004,23420,7200933,7200.933,307.469385140905
2005,23123,7197458,7197.458,311.26834753276
2006,22878,7187417,7187.417,314.162820176589
2007,22693,7132874,7132.874,314.320451240471
2008,22476,7121781,7121.781,316.861585691404
2009,22258,7063606,7063.606,317.351334351694
2010,22000,6993376,6993.376,317.880727272727
2011,21721,6887292,6887.292,317.079876617099
2012,21460,6764619,6764.619,315.219897483691
2013,21131,6676920,6676.92,315.97747385358
2014,20852,6600006,6600.006,316.516689046614
2015,20601,6543104,6543.104,317.610989757779
2016,20313,6483515,6483.515,319.18057401664
2017,20095,6448658,6448.658,320.908584224932
2018,19892,6427867,6427.867,323.138296802735
2019,19738,6368550,6368.55,322.654270949438
2020,19525,6300693,6300.693,322.698745198464
2021,19336,6223395,6223.395,321.855347538271
2022,19161,6151305,6151.305,321.032566149992
2023,18980,6049685,6049.685,318.739989462592
2024,18822,5941733,5941.733,315.68021464244